requirement_id,domain,requirement,owner_path,verification_method,evidence_level,status
NPU-019,NPU,Track all 4096 HBM beat identities across sixteen DMA channels and reject duplicate allocation or unknown retirement while permitting same-cycle retirement and reuse,rtl/npu/dma;specs/interfaces;verification/npu/system,Exhaustive fill drain randomized bitmap scoreboard error injection zero-warning lint synthesis readiness and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-020,NPU,Allocate and release 256 local HBM beat tags per DMA channel with full-pool backpressure protocol diagnostics and independent lifetime auditing,rtl/npu/dma;specs/interfaces;verification/npu/system,Exhaustive 4096-tag claim release full-pool failure release turnover unknown-release randomized free-bitmap zero-warning lint synthesis readiness and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-021,NPU,Integrate sixteen decoded DMA beat channels with local-tag reservation five-lane HBM egress ordered response routing outstanding tracking and known-tag reclamation without inventing descriptor SRAM or NoC fields,rtl/npu/dma;specs/interfaces;verification/npu/system,1536-beat mixed read-write end-to-end tag payload status backpressure telemetry and drain regression plus zero-warning lint synthesis readiness and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-022,NPU,Observe only consumed HBM responses and count OK corrected-ECC uncorrectable-ECC and data-error status without changing retirement or defining runtime recovery semantics,rtl/npu/dma;specs/interfaces;verification/npu/system,Directed and randomized sixteen-channel status scoreboard sticky and reset checks integrated 1536-beat four-class regression zero-warning lint synthesis readiness and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-023,NPU,Stop new DMA beat admission and losslessly drain accepted work before reporting a telemetry-settled quiesced state while retaining maximum outstanding occupancy,rtl/npu/dma;specs/interfaces;verification/npu/system,Active-traffic quiesce zero-admission complete-drain three-cycle settle resume high-watermark scoreboard zero-warning lint synthesis readiness and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-024,NPU,Expand already-decoded and translated full-beat DMA commands into stable bounded linear two-dimensional and three-dimensional HBM and SRAM address sequences without defining KD-ISA or IOVA behavior,rtl/npu/dma;specs/interfaces;verification/npu/system,Directed and randomized ready-valid sequence alignment version count capacity overflow completion backpressure clear reset zero-warning lint synthesis readiness and mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-025,NPU,Move full 128-byte beats bidirectionally between one pod-local HBM partition and shared SRAM through sixteen finite DMA channels with tag-indexed metadata drain-on-error and internal completions,rtl/npu/dma;specs/interfaces;verification/npu/system,Bidirectional mover and sixteen-channel engine scoreboards HBM SRAM and completion backpressure quiesce error drain zero-warning lint synthesis readiness and mover mapped 1 GHz generic STA,GENERIC_SYNTH,VERIFIED
NPU-026,NPU,Provide a 16 MiB eight-bank pod-shared SRAM with sixteen DMA clients independent read-write arbitration and exact fixed KD28 macro mapping,rtl/npu/sram;Library/models/kd28;specs/interfaces;verification/npu/system,Conflict fairness read-before-write malformed-request reset clear end-to-end RTL regression and exact 256-macro black-box synthesis,GENERIC_SYNTH,VERIFIED
NPU-027,NPU,Integrate one sixteen-channel DMA engine and one pod-shared SRAM without routing pod-local traffic through the NoC,rtl/npu/dma;rtl/npu/sram;specs/interfaces;verification/npu/system,128-beat bidirectional Pod round-trip randomized HBM SRAM and completion backpressure five-lane activity quiesce complete drain and exact 256-macro synthesis,RTL_SIM,VERIFIED
NPU-028,NPU,Organize one NPU as eight Pods in a 2 by 4 logical placement with two compute clusters and one locally affine HBM partition per Pod,rtl/npu/pod;docs/adr;specs/interfaces,Architecture consistency and checked capacity geometry,ANALYTICAL,BASELINED
NPU-029,NPU,Move paired data and scale beats from Pod-shared SRAM into one to eight consecutive Tensor or Vector local banks through a stable compatibility interface,rtl/npu/pod;specs/interfaces;verification/npu/pod,Tensor Vector mapping request write completion backpressure malformed-command quiesce zero-warning lint and synthesis readiness,RTL_SIM,VERIFIED
NPU-030,NPU,Allocate jobs across two Pod compute clusters with optional affinity stable dispatch matched retirement and lossless buffered completion,rtl/npu/pod;verification/npu/pod,Round-robin preferred-cluster full occupancy dispatch backpressure simultaneous retirement completion backpressure quiesce and protocol-error regression,RTL_SIM,VERIFIED
NPU-031,NPU,Integrate one complete single-clock Pod with two compute clusters two local loaders one DMA engine one shared SRAM and one locally affine five-lane HBM boundary without inventing NoC or runtime fields,rtl/npu/pod;rtl/npu/compute;rtl/npu/dma;rtl/npu/sram;specs/interfaces;verification/npu/pod,Two-task dispatch full status return two-beat HBM-to-SRAM preload Tensor and Vector local movement DMA-loader read arbitration completion backpressure clean quiesce zero-warning stub and real-hierarchy lint,RTL_SIM,VERIFIED
NPU-032,NPU,Provide a versioned router-independent Pod-to-NoC attachment with one full-duplex 128-bit control lane two full-duplex 1024-bit data lanes opaque payloads ready-valid backpressure and no exposed VC credit or routing state,rtl/npu/pod;specs/interfaces;docs/adr;verification/npu/pod,Control and dual-data bidirectional flit regression output stability packet-aware quiesce endpoint diagnostics clear recovery zero-warning lint and synthesis readiness,RTL_SIM,VERIFIED
NPU-033,NPU,Issue independent Vector tasks inside one compute cluster using descriptor version 3 the existing Activation and Vector operand SRAMs and the shared Vector backend without synthetic GEMM or NoC behavior,rtl/npu/scheduler;rtl/npu/compute;rtl/npu/vector;rtl/npu/sram;specs/interfaces;docs/adr;verification/npu/compute,Zero-warning scheduler System independent-path and fairness lint plus 104-combination operation source route propagation matrix address-distinct real-SRAM real-Vector backpressure tail-mask completion all-operation numeric engine alternating GEMM/Vector grants stalled GEMM A/W pairing and legacy coupler regressions,RTL_SIM,VERIFIED
NPU-034,NPU,Validate and route one versioned already-decoded Task local-transfer or DMA record per Pod and fairly serialize all leaf and malformed-command completions without defining KD-ISA or software queues,rtl/npu/command;rtl/npu/pod;specs/interfaces;docs/adr;verification/npu/command;verification/npu/pod,Zero-warning lint Yosys synthesis-readiness malformed and target checks source and sink backpressure simultaneous completion fairness counters and managed-Pod Task DMA local-transfer end-to-end regression,RTL_SIM,VERIFIED
NPU-035,NPU,Instantiate eight managed Pods in a fixed 2 by 4 placement with one same-ID HBM partition and one router-independent NoC attachment per Pod while leaving router VC credit routing and CDC externally owned,rtl/npu;rtl/npu/pod;specs/interfaces;docs/adr;verification/npu/pod,Zero-warning eight-Pod hierarchy lint production-geometry concurrent Task DMA all sixteen local loaders malformed HBM and 48-flit NoC attachment RTL simulation four deterministic HBM seeds mandatory 84-bit functional matrix ready-valid SVA measured code-coverage gate separate real-module one-Pod lint and managed one-Pod integration,RTL_SIM,VERIFIED
INF-001,Infrastructure,Provide reusable KD28 single-port simple-dual-port and true-dual-port SRAM mapping models with parameterized synchronous and asynchronous FIFO wrappers,Library/models/kd28;Library/timing/kd28;verification/kd28;technology/kd28,Generated-view checks RTL regression generic black-box link and three-corner synthetic STA,GENERIC_SYNTH,VERIFIED
KDL-001,KDLink,Transfer 512 payload bits per logical port cycle with a steady-state initiation interval of one,rtl;simulator/kdlink,Four-node full-duplex continuous-flow RTL regression,RTL_SIM,BASELINED
KDL-002,KDLink,Support eight logical ports and 512 GB/s analytical payload injection per direction per NPU,rtl;simulator;verification,Multi-port fabric performance regression,RTL_SIM,PROPOSED
KDL-003,KDLink,Support AllReduce AllGather ReduceScatter AllToAllv and point-to-point operations,rtl;verification,32-node exact-result regression,RTL_SIM,PROPOSED
KDL-004,KDLink,Provide versioned PCS encoding lane striping training deskew and fault behavior,rtl;specs;verification,Encoded-stream and fault-injection regression,RTL_SIM,PROPOSED
KDL-005,KDLink,Provide deadlock-free deterministic routing with a guaranteed escape path,rtl;simulator;verification,Channel-dependency analysis and congestion regression,FORMAL,PROPOSED
KDL-006,KDLink,Represent a fixed 32-node leaf using up to 32 card slots with 1 2 4 8 16 or 32 NPUs per card and card plane slice isolation,rtl/kdlink;simulator/kdlink;specs/kdlink,Configurable card-directory and fabric fault-isolation RTL regression,RTL_SIM,BASELINED
KDL-007,KDLink,Provide a vendor-neutral ten-lane digital SerDes channel model with latency skew training and deterministic fault injection,simulator/kdlink;specs/kdlink,PCS-to-SerDes full-duplex and fault-injection regression,RTL_SIM,BASELINED
KDL-008,KDLink,Complete a representative packet CRC NACK replay and exact-once path across PCS and digital SerDes,rtl/kdlink;simulator/kdlink,Integrated multiboard E2E regression with injected CRC fault,RTL_SIM,BASELINED
KDL-009,KDLink,Recover forward progress after VC credit exhaustion without a combinational reverse ready path,rtl/kdlink;simulator/kdlink,Asynchronous two-endpoint credit exhaustion and cumulative recovery regression,RTL_SIM,BASELINED
KDL-010,KDLink,Sustain 64 GB/s payload per direction and 128 GB/s aggregate on one 512-bit logical full-duplex port at 1 GHz,rtl/kdlink;simulator/kdlink,Four-node 1024-flit-per-rank zero-bubble bandwidth regression,RTL_SIM,BASELINED
KDL-011,KDLink,Sustain initiation interval one for 512-bit SUM reduction across INT32 FP32 FP16 and BF16,rtl/kdlink;simulator/kdlink,Four-dtype 4096-flit mixed-stream bit-exact zero-bubble regression,RTL_SIM,BASELINED
KDL-012,KDLink,Support every active population from 1 through 1048576 NPUs with a partial final 32-node leaf and no inactive endpoint in routing or collectives,rtl/kdlink;simulator/kdlink;specs/kdlink,Irregular 2 3 33 78 and 15132 NPU model and RTL regression,RTL_SIM,BASELINED
KDL-013,KDLink,Dimension every hierarchy tier with explicit traffic oversubscription parallel bonded-link failure headroom and BDP contracts,simulator/kdlink;specs/kdlink;requirements,Per-tier analytical model and boundary regression,FUNCTIONAL_SIM,BASELINED
KDL-014,KDLink,Propagate declared inference TP EP PP DP and remote-KV traffic through the leaf and active radix-eight tiers without per-endpoint packet objects,simulator/kdlink;specs/kdlink;requirements,Compressed cluster-inference functional simulation and hierarchy-capacity regression,FUNCTIONAL_SIM,BASELINED
KDL-015,KDLink,Evaluate independent tier group plane and direction contention with explicit per-DP and cluster throughput overload and deterministic multi-request tail metrics,simulator/kdlink;specs/kdlink;requirements,Analytical calibration local-tier upgrade and burst-versus-spaced serving regression,FUNCTIONAL_SIM,BASELINED
KDL-016,KDLink,Provide reusable schema-2 schema-3 and schema-4 verification packages and VIP with capability payload CRC packet sequence and Route-Context pairing checks,simulator/kdlink/pkg;simulator/kdlink/vip;simulator/kdlink/tb/unit,Self-checking package stream and serial-interface regression,RTL_SIM,BASELINED
VER-001,Verification,Label every performance claim with an allowed evidence level,verification;docs,Release audit,ANALYTICAL,BASELINED
REL-001,Release,Exclude model weights credentials private datasets and non-redistributable binaries,third_party;LICENSES;ci,License and secret scan,ANALYTICAL,BASELINED
